Title;Rating;Image;Demography;Genres;Year;List
Sonrisas.;0.00/10;https://otakuteca.com/images/books/cover/6496c264a0d60.webp;Seinen;Ecchi, Misterio, Psicológico, Tragedia, Drama, Horror, Gore;2022;Siguiendo
Hametsu no Oukoku;8.00/10;https://otakuteca.com/images/books/cover/649b91997fb75.webp;Shounen;Acción, Fantasia, Magia, Tragedia, Ciencia Ficción;2019;Siguiendo
Hanazono-san Chi no Futago-chan;7.60/10;https://otakuteca.com/images/books/cover/609d81e979046.webp;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida, Drama, Harem;2020 - 2021;Siguiendo
Happy Sugar Life;7.00/10;https://otakuteca.com/images/books/cover/14067_TMOmanga113316.webp;Seinen;Drama, Horror, Misterio, Psicológico, Girls Love;2015;Siguiendo
Hello World;0.00/10;https://otakuteca.com/images/books/cover/5e3f25b9d2658.webp;Seinen;Drama, Romance, Vida Escolar, Ciencia Ficción, Sobrenatural;2019 - 2020;Siguiendo
Hensokukei Quadrangle;9.06/10;https://otakuteca.com/images/books/cover/14316_TMOmanga010919.webp;Shounen;Comedia, Romance, Vida Escolar;2015;Siguiendo
Hige Wo Soru. Soshite Joshikosei Wo Hirou;6.56/10;https://otakuteca.com/images/books/cover/5ecec044774df.webp;Seinen;Comedia, Drama, Romance, Recuentos de la vida, Telenovela;2018;Siguiendo
Hijiri-kun wa Kiyoku Ikitai;8.60/10;https://otakuteca.com/images/books/cover/6589a8afbb8c7.webp;Seinen;Comedia, Ecchi, Romance, Vida Escolar;2023;Siguiendo
Himari no Mawari;0.00/10;https://otakuteca.com/images/books/cover/5d0463185e42b.webp;Seinen;Comedia, Familia, Romance, Vida Escolar, Recuentos de la vida;2018 - 2020;Siguiendo
Hinako’s My Wife?!;8.00/10;https://otakuteca.com/images/books/cover/5c389e3508209.webp;Shoujo;Romance, Sobrenatural;2018;Siguiendo
Hinomoto 3-shimai wa Kamatte Hoshii;8.80/10;https://otakuteca.com/images/books/cover/5e0ce8c7e230b.webp;Seinen;Comedia, Ecchi, Harem, Romance, Recuentos de la vida;2016 - 2018;Siguiendo
Hokenshitsu no Kageyama-kun;6.00/10;https://otakuteca.com/images/books/cover/5d4064f93f26b.webp;Shoujo;Comedia, Romance, Vida Escolar, Sobrenatural, Vampiros;2017;Siguiendo
Horimiya;8.03/10;https://otakuteca.com/images/books/cover/615de1631925f.webp;Shounen;Comedia, Recuentos de la vida, Romance, Vida Escolar;2011 - 2021;Siguiendo
Hoshino, Me o Tsubutte;8.89/10;https://otakuteca.com/images/books/cover/5e1e86776fa29.webp;Shounen;Comedia, Recuentos de la vida, Romance, Vida Escolar, Drama, Harem;2016 - 2018;Siguiendo
The After School Idol Has a Secret;8.00/10;https://otakuteca.com/images/books/cover/648d6c1131507.webp;Shounen;Musica, Realidad, Romance, Vida Escolar;2022;Siguiendo
Houkago wa Kissaten de;9.09/10;https://otakuteca.com/images/books/cover/35314_TMOManga5a715e1d1eab6.webp;Shoujo;Romance, Vida Escolar, Comedia, Drama;2017;Siguiendo
I Want To Drink Your Tears;9.00/10;https://otakuteca.com/images/books/cover/5f28427101b28.webp;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida;2020;Siguiendo
Otome Game no Mobu desura naindaga;9.29/10;https://otakuteca.com/images/books/cover/62943be8222a3.webp;Shounen;Comedia, Fantasia, Reencarnación, Romance, Recuentos de la vida;2021;Siguiendo
Ichijou-san, se te nota en la cara;10.00/10;https://otakuteca.com/images/books/cover/625b4fc43fcd9.webp;Seinen;Comedia, Romance, Vida Escolar, Sobrenatural, Vampiros;2021;Siguiendo
Ijousha no Ai;6.11/10;https://otakuteca.com/images/books/cover/5ea88207b19cf.webp;Shounen;Horror, Psicológico, Romance, Tragedia, Gore, Drama;2017 - 2018;Siguiendo
Iris Zero;9.24/10;https://otakuteca.com/images/books/cover/5f1c8ff032132.webp;Seinen;Comedia, Drama, Fantasia, Sobrenatural, Misterio, Romance, Vida Escolar;2009;Siguiendo
Jaku-Chara Tomozaki-kun;10.00/10;https://otakuteca.com/images/books/cover/34023_TMOManga5a3f6f29836d1.webp;Shounen;Drama, Harem, Romance, Recuentos de la vida, Comedia;2017 - 2022;Siguiendo
Jibaku Shounen Hanako-kun;9.00/10;https://otakuteca.com/images/books/cover/61609dae0e751.webp;Shounen;Acción, Aventura, Drama, Romance, Vida Escolar, Recuentos de la vida, Sobrenatural;2014;Siguiendo
Jingi Naki Mukotori;10.00/10;https://otakuteca.com/images/books/cover/5f98769931b33.webp;Shoujo;Comedia, Drama, Romance, Vida Escolar;2020;Siguiendo
Jubunnoichi no Hanayome;5.50/10;https://otakuteca.com/images/books/cover/605d33de2a1b4.webp;Seinen;Drama, Ecchi, Harem, Familia, Telenovela, Recuentos de la vida;2019;Siguiendo
