Title;Rating;Image;Demography;Genres;Year;List
This love is illegal;0.00/10;https://otakuteca.com/images/books/cover/5b860c1086e3a.jpg;Seinen;Drama, Romance, Recuentos de la vida, Tragedia, Ciencia Ficción;2017;Pendiente
Tonari no Kashiwagi-san;6.80/10;https://otakuteca.com/images/books/cover/10787_TMOManga583dfecec8dce.jpg;Seinen;Comedia, Romance, Vida Escolar;2010 - 2016;Pendiente
Tsuki ga Kirei Desu ne;8.99/10;https://otakuteca.com/images/books/cover/638888c066257.jpg;Shoujo;Fantasia, Romance, Girls Love, Recuentos de la vida;2015;Pendiente
Tsuredure Children;9.00/10;https://otakuteca.com/images/books/cover/634cf46d7282c.jpg;Shounen;Comedia, Romance, Vida Escolar;2012 - 2018;Pendiente
Uq Holder;8.86/10;https://otakuteca.com/images/books/cover/5e283e1726909.jpg;Shounen;Acción, Aventura, Comedia, Ecchi, Fantasia, Ciencia Ficción, Harem;2013 - 2022;Pendiente
Watashi no Yuri wa Oshigoto desu!;9.13/10;https://otakuteca.com/images/books/cover/604142da89ffa.jpg;Shoujo;Comedia, Girls Love, Vida Escolar, Recuentos de la vida;;Pendiente
Yakushoku Distpiari - Gesellshaft Blume;2.00/10;https://otakuteca.com/images/books/cover/5dba09f3b1851.jpg;Seinen;Acción, Aventura, Comedia, Fantasia, Sobrenatural, Psicológico, Tragedia;2014;Pendiente
Yofukashi no Uta;9.53/10;https://otakuteca.com/images/books/cover/5f03be8f9b407.jpg;Shounen;Romance, Recuentos de la vida, Sobrenatural, Vampiros, Comedia, Psicológico, Drama;2019;Pendiente
Yomeiro Choice;10.00/10;https://otakuteca.com/images/books/cover/9190_TMOmanga.jpg;Shounen;Comedia, Sobrenatural, Romance, Harem, Vida Escolar;2007;Pendiente
Yuizaki-san wa Nageru!;4.00/10;https://otakuteca.com/images/books/cover/5e39b16ccef45.jpg;Seinen;Comedia, Romance, Vida Escolar, Ecchi, Recuentos de la vida, Deporte;2016 - 2017;Pendiente
Yumizuka Iroha wa Tejun ga Daiji!;0.00/10;https://otakuteca.com/images/books/cover/614c0aad84a6b.jpg;Shounen;Comedia, Romance, Vida Escolar, Deporte;2017 - 2018;Pendiente
Yuusha ga Shinda! Murabito no Ore ga Hotta Otoshiana ni Yuusha ga Ochita Kekka;8.40/10;https://otakuteca.com/images/books/cover/5f1318d1d3c49.jpg;Shounen;Acción, Aventura, Comedia, Ecchi, Fantasia, Harem, Romance;2014 - 2020;Pendiente
¡Sobrescribiendo mi solitaria vida!;8.11/10;https://otakuteca.com/images/books/cover/62f556b9240b6.jpg;Seinen;Comedia, Magia, Reencarnación, Romance, Vida Escolar, Recuentos de la vida;;Siguiendo
Oshi No Ko;9.20/10;https://otakuteca.com/images/books/cover/5efe4afd1d0c5.jpg;Seinen;Drama, Psicológico, Romance, Reencarnación, Familia, Misterio, Recuentos de la vida;2020;Siguiendo
Las Siete Bellas Durmientes;0.00/10;https://otakuteca.com/images/books/cover/642386451ff0f.jpg;Seinen;Comedia, Fantasia, Harem, Romance;2023;Siguiendo
Adachi To Shimamura (Moke ver.);7.00/10;https://otakuteca.com/images/books/cover/60ef905f6947d.jpg;Shoujo;Girls Love, Romance, Vida Escolar;2019;Siguiendo
Aitsu no Kanojo;6.63/10;https://otakuteca.com/images/books/cover/64d47fa4bd6e6.jpg;Seinen;Comedia, Ecchi, Vida Escolar, Drama, Romance;2022;Siguiendo
Akuyaku Ouji wa Koi ga Dekinai;6.00/10;https://otakuteca.com/images/books/cover/62d88ae0a6df9.jpg;Shounen;Comedia, Romance, Vida Escolar;2017 - 2018;Siguiendo
